*CA per mile cost,$0.55,,,,,,,,,,,,
Hourly pay,$20,$25,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Location,Distance Traveled (from home or jobsite to jobsite),Distance Traveled (jobsite to home),Distance Traveled Cost (roundtrip),Time Start,Time End,Time Spent (hr),Time Cost,Total = Dist + Time,Total,Parking/Ticket Spendings ($),Hours (by section),Running Total 
1/3/19,"147 Hagar Ave, Piedmont ",3.1,3.1,$3.41,10:00 AM,12:30 PM,2.5,$50,$53.41,$53.41,,,
1/8/19,"2738 Grant St, Berkeley",7,7,$7.70,1:00 PM,2:30 PM,1.5,$30,$37.70,$91.11,,,
1/9/19,"30 Moraga Via, Orinda",8.6,8.6,$9.46,10:00 AM,12:00 PM,2,$40,$49.46,$140.57,,,
1/14/19,"152 Hazel Ln, Piedmont",4.1,4.1,$4.51,9:30 AM,1:25 PM,4,$80,$84.51,$225.08,,,
1/14/19,"1532B Virginia, Berkeley",CANCELLED,,-,,,,,,$225.08,,,
1/17/19,"73 Tunnel Rd, Berkeley",4.1,0,$2.26,9:30 AM,11:30 AM,2,$40,$42.26,$267.34,,,
1/17/19,"126 Ponoma Ave, El Cerrito",11,14.7,$14.14,11:30 AM,12:45 PM,1.25,$25,$39.14,$306.47,,13.25,$306.47
1/22/19,"1400 Oxford St, Berkeley",8.5,0,$4.68,10:10 AM,11:20 AM,1.17,$23,$28.01,$28.01,,,
1/22/19,"1215 Contra Costa Dr, El Cerrito",3.8,16.1,$10.95,11:20 AM,12:55 PM,1.58,$32,$42.61,$70.62,,,
2/1/19,"6988 Pinehaven Rd, Oakland",3.4,3.4,$3.74,10:00 AM,12:00 PM,2,$40,$43.74,$114.36,,,
2/5/19,"635 Sky Hy Cir, Lafayette",13,13,$14.30,12:05 PM,2:20 PM,2.25,$45,$59.30,$173.66,,,
2/7/19,"1118 Carleton St, Berkeley",8,8,$8.80,11:00 AM,12:25 PM,1.42,$28,$37.13,$210.79,,,
2/14/19,"6829 Snake Rd, Oakland",3.5,0,$1.93,10:00 AM,11:30 AM,1.5,$30,$31.93,$242.72,,,
,"601 Mountain Ave, Piedmont ",9.9,3,$7.10,11:30 AM,3:30 PM,2,$40,$47.10,$289.81,,,
2/15/19,"5377 Bryant Ave, Oakland",7.6,0,$4.18,10:00 AM,11:30 AM,1.5,$30,$34.18,$323.99,,,
,"5980 Harbord Dr, Oakland ",2.4,0,$1.32,11:30 AM,1:00 PM,1.5,$30,$31.32,$355.31,,,
,"906 Paramount Rd, Oakland",2.2,6.2,$4.62,1:00 PM,3:00 PM,2,$40,$44.62,$399.93,,16.92,$706.40
2/22/19,"2661 Mountaingate Way, Oakland",1.4,1.4,$1.54,10:00 AM,1:00 PM,3,$60,$61.54,$61.54,,,
2/25/19,"2541 Stockbridge Dr, Oakland",2.8,0,$1.54,12:00 PM,1:30 PM,1.5,$30,$31.54,$93.08,,,
,"1033 Ashmount Ave, Piedmont",4.1,3.3,$4.07,1:30 PM,3:15 PM,1.75,$35,$39.07,$132.15,,,
2/28/19,"1452 Scenic Ave, Berkeley",13.5,13.5,$14.85,12:30 PM,2:10 PM,1.67,$33,$48.18,$180.33,,,
3/1/19,"136 Dudley Ave, Piedmont",3.2,0,$1.76,11:00 AM,12:45 PM,1.75,$35,$36.76,$217.09,,,
,"5872 Morpeth St, Oakland",1.9,3.5,$2.97,12:45 PM,2:35 PM,1.83,$37,$39.64,$256.73,,,
3/2/19,"807 Zephyr Dr, Oakland ",10,10,$11.00,3:30 PM,5:30 PM,2,$40,$51.00,$307.73,,,
3/5/19,"6729 Thornhill Dr, Oakland",3.7,3.7,$4.07,11:00 AM,2:50 PM,3.83,$77,$80.74,$388.47,,,
3/6/19,"5401 Fernhoff Rd, Oakland",3.2,3.2,$3.52,12:00 PM,1:30 PM,1.5,$30,$33.52,$421.99,,,
3/8/19,"100 Estates Dr, Piedmont",2,2,$2.20,1:30 PM,3:00 PM,1.5,$30,$32.20,$454.19,,,
3/11/19,"230 Bonita Ave, Piedmont",4,4,$4.40,1:30 PM,3:30 PM,1.5,$30,$34.40,$488.59,,,
3/12/19,"100 Scenic Ave, Piedmont",4,4,$4.40,12:00 PM,1:00 PM,1,$20,$24.40,$512.99,,,
3/14/19,"2429 Ninth St, Berkeley",9.6,0,$5.28,11:20 AM,12:00 PM,0.67,$13,$18.61,$531.60,,,
,"685 Colusa Ave, Berkeley",3.1,11.6,$8.09,12:00 PM,1:00 PM,1,$20,$28.09,$559.69,,24.5,"$1,266.09"
3/15/19,"1631 Woolsey St, Berkeley",10.7,10.7,$11.77,1:00 PM,3:00 PM,2,$40,$51.77,$51.77,,,
3/18/19,"2015 Center St, Oakland",8.6,8.6,$15.46,11:00 AM,1:00 PM,2,$40,$55.46,$107.23,6,,
3/20/19,"3625 Calafia Ave, Oakland",7.1,7.1,$7.81,11:00 AM,1:00 PM,2,$40,$47.81,$155.04,,,
3/24/19,"2492 Rawson St, Oakland",4,4,$4.40,11:50 AM,2:00 PM,2.17,$43,$47.73,$202.77,,,
3/25/19,"488 58th St, Oakland",5.5,5.5,$6.05,12:00 PM,1:00 PM,1,$20,$26.05,$228.82,,,
3/26/19,"826 Mandana Blvd, Oakland",3.5,3.5,$3.85,12:00 PM,2:30 PM,2.5,$50,$53.85,$282.67,,11.67,"$1,548.76"
4/10/19,"320 El Cerrito Ave, Piedmont",4.1,4.1,$4.51,10:45 AM,2:05 PM,3.33,$67,$71.18,$71.18,,,
4/11/19,"1425 Eighth St, Berkeley",12,12,$13.20,10:00 AM,12:40 PM,2.67,$53,$66.53,$137.71,,,
4/16/19,"1829 Versailles Ave, Alameda",12.5,12.5,$13.75,11:00 AM,12:30 PM,1.5,$30,$43.75,$181.46,,,
4/17/19,"199 St James Dr, Piedmont",2.2,2.2,$2.42,10:00 AM,1:00 PM,3,$60,$62.42,$243.88,,,
4/18/19,"7287 Claremont Ave, Berkeley",4.7,4.7,$5.17,11:00 AM,3:00 PM,4,$80,$85.17,$329.05,,,
