fp,$40.00,,,,,,
asb,$60.00,,,,,,
Date,Location,Type,Hours,Time Cost,Running Total,Total Sq Ft,Notes
11/8/2021,7 Leeward Road,asb,6.00,$300.00,$300.00,,
11/10/2021,"460 Francisco Street, #103",fp,3.00,$120.00,$420.00,867,
11/12/2021,6 Scenic Way,fp,2.00,$80.00,$500.00,,helped Ryan and Andrew
,3625 Jackson Street,asb,6.00,$300.00,$800.00,,electrical
11/15/2021,51 Corte Toluca,asb,5.50,$275.00,"$1,075.00",2641,
11/17/2021,840 Montecillo Road,asb,6.00,$300.00,"$1,375.00",2418,
11/18/2021,1443 16th Avenue,fp,5.00,$200.00,"$1,575.00",2631,
11/22/2021,"1101 Green Street, #904",asb,6.00,$300.00,"$1,875.00",1840,
11/24/2021,126 Thrift Street,fp,4.00,$160.00,"$2,035.00",1548,
11/29/2021,531 29th Street,fp,4.50,$180.00,"$2,215.00",1705,
,216-218 Downey Street,fp,5.50,$220.00,"$2,435.00",3227,
11/30/2021,69 Telegraph Place,asb,7.00,$350.00,"$2,785.00",3535,
12/1/2021,1307 Sanderling Island,fp,5.50,$220.00,$220.00,3611,
,1242 Kains Avenue,fp,4.00,$160.00,$380.00,1910,
12/2/2021,612 Cabrillo Street,fp,4.50,$180.00,$560.00,1441,
,854 Cole Street,fp,4.50,$180.00,$740.00,2135,
,659 56th Street,fp,4.00,$160.00,$900.00,1574,
12/3/2021,172 Morningside Drive,asb,8.00,$480.00,"$1,380.00",2313,$60 for asb til end of 2021
12/6/2021,1570 Sanchez Street,asb,8.00,$480.00,"$1,860.00",3023,
12/7/2021,217 Cumberland Street,asb,8.00,$480.00,"$2,340.00",1384,
,"322 Hanover Avenue, #310",fp,4.00,$160.00,"$2,500.00",1025,
12/8/2021,69 Telegraph Place,asb,2.00,$120.00,"$2,620.00",3535,revisit for elevation data
12/9/2021,237 McKendry Drive,asb,5.50,$330.00,"$2,950.00",1424,plus 1 hour for commute
12/10/2021,126 6th Avenue,fp,6.50,$260.00,"$3,210.00",4174,
,819 Santa Ray Avenue,fp,5.00,$200.00,"$3,410.00",2853,
12/13/2021,"210 Folsom Street, #42C",fp,5.00,$200.00,"$3,610.00",2314,
,"300 Beale Street, #411",fp,4.00,$160.00,"$3,770.00",972,
12/14/2021,"2170 Jackson Street, #1",asb,7.00,$420.00,"$4,190.00",3403,
12/15/2021,162 Grand View Avenue,fp,7.00,$280.00,"$4,470.00",3616,split w/ Andrew
12/16/2021,2900 Scott Street,fp,6.50,$260.00,$260.00,4832,split w/ Andrew
,3002 Clay Street,fp,5.00,$200.00,$460.00,2149,
12/17/2021,610 Quarry Road,asb,10.00,$600.00,"$1,060.00",7331,plus 1 hour for commute
12/20/2021,2971 23rd Avenue,fp,5.50,$220.00,"$1,280.00",2685,
,"255 Berry Street, #603",fp,4.00,$160.00,"$1,440.00",1278,
12/21/2021,1600 Courtland Road,fp,6.00,$240.00,"$1,680.00",3056,plus 1 hour for commute
12/29/2021,1632 Walnut Street,fp,5.50,$220.00,"$1,900.00",2775,
12/30/2021,134 Nevada Street,fp,4.50,$180.00,"$2,080.00",2100,
,413 Valencia Street,fp,3.00,$120.00,"$2,200.00",730,
,,,,$0.00,$0.00,,
