fp,$50.00,,,,,,
asb,$70.00,,,,,,
Date,Location,Type,Hours,Time Cost,Running Total,Notes,Total Sq Ft Measured
1/3/2022,1409 Lyon Street,fp,4.25,$212.50,$212.50,,1534
1/4/2022,3864 Middlefield Road,asb,6.50,$455.00,$667.50,"plus 1 hr for commute, elevations",2445
1/5/2022,100 Laidley Street,fp,5.50,$275.00,$942.50,,2392
1/5/2022,"1950 Gough Street, #404",fp,4.00,$200.00,"$1,142.50",,905
1/6/2022,3628 Fillmore Street,fp,4.00,$200.00,"$1,342.50","w/ cd, two identical levels",2290
1/6/2022,579 47th Avenue,fp,4.00,$200.00,"$1,542.50","w/ cd, no color",2607
1/7/2022,1900 Leavenworth Street,fp,4.00,$200.00,"$1,742.50",unfinished due to painters,n/a
1/7/2022,86 Monterey Blvd,fp,6.00,$300.00,"$2,042.50",plus site plan,1935
1/10/2022,419-421 Lawton Street,fp,6.00,$300.00,"$2,342.50",,4194
1/10/2022,"3045 Jackson Street, #301",fp,3.00,$150.00,"$2,492.50",no access,n/a
1/11/2022,124 Mono Avenue,asb,7.00,$490.00,"$2,982.50","plus 1 hr for commute, elevations + sections ",1173
1/12/2022,"329 Bay Street, #401",fp,4.00,$200.00,"$3,182.50",,1010
1/12/2022,66 Patton Street,fp,4.00,$200.00,"$3,382.50",,1201
1/13/2022,15 Rubicon Court,asb,7.50,$525.00,"$3,907.50","plus 1 hr for commute, elevations",2842
1/14/2022,2307 Sacramento Street,asb,6.00,$420.00,"$4,327.50",elevations,2453
1/14/2022,4124 Terrace Street,fp,4.50,$225.00,"$4,552.50",,1734
1/18/2022,40 Park Drive,asb,5.00,$350.00,$350.00,plus 1 hr for commute,1262
1/19/2022,2145 Hayes Street,fp,4.50,$225.00,$575.00,plus site,1470
1/19/2022,9359 Skyline Drive,fp,5.50,$359.00,$934.00,plus 84 for ticket :(,3158
1/20/2022,1295 Rockland Drive,fp,6.50,$325.00,"$1,259.00",plus 1 hr for commute,2803
1/21/2022,430 W Portal Avenue,asb,7.00,$490.00,"$1,749.00",,3419
1/24/2022,235 Palo Alto Avenue,asb,8.00,$560.00,"$2,309.00","plus 1 hr for commute, elevations",1044
1/25/2022,2372 15th Avenue,fp,5.50,$275.00,"$2,584.00",,3430
1/25/2022,2307 Sacramento Street,asb,0.50,$35.00,"$2,619.00",revisit for front site and utilities,n/a
1/26/2022,2412 Lake Street,fp,5.75,$287.50,"$2,906.50",,2731
1/26/2022,2531 Larkin Street,fp,6.50,$325.00,"$3,231.50",,3851
