AT HOME,$25,hr,,,,,,,,,
ON SITE,$35,hr,,,,,,,,,
Date,Location,Time Start,Time End,Time Spent (hr),Square Footage,Time Cost + Parking,Running Total,Parking,,,
12/26/19,2720 Balboa St,,,1.5,,$37.50,$37.50,,,,
12/27/19,1459-1461 Thomas Ave,,,2,,$50.00,$87.50,,,,
1/6/20,11 Roscoe St,,,2.25,,$56.25,$143.75,,,,
1/7/20,694 Peralta Ave,,,0.75,,$18.75,$162.50,,,,
1/8/20,300 Berry Street #448 ,,,0.75,,$18.75,$181.25,,,,
1/24/20,3036-3038 Webster St,,,1.25,,$31.25,$212.50,,,,
1/27/20,16 La Cuesta Dr,,,2.25,,$56.25,$268.75,,,,
2/20/20,165 Terrave Wk,1:00 PM,3:30 PM,2.5,,$62.50,$62.50,,,,
2/24/20,340 Ritch St #8,,,1,,$25.00,$87.50,,,,
2/24/20,"79 Ardmore Rd, Larkspur",,,1.5,,$37.50,$125.00,,,,
2/25/20,3240 Pacific Ave,,,1.75,,$43.75,$168.75,,,,
2/27/20,2848 Canyon Rd,,,2,,$50.00,$218.75,,,,
3/5/2020,15 Solar Ct,,,2.5,,$62.50,$62.50,,,,
3/6/2020,1770 Pacific Ave #401,,,1.5,,$37.50,$100.00,,,,
3/10/2020,138 - 140 Lower Terrace,,,2,,$50.00,$150.00,,,,"$5,878.75"
3/10/2020,451 17th Ave,,,1,,$25.00,$175.00,,,,
3/11/2020,284 Roosevelt Ave,,,2,,$50.00,$225.00,,,,
3/11/2020,85 Miguel St,,,1,,$25.00,$250.00,,,,
3/12/2020,355 Buena Vista Ave E 106 ,,,1,,$25.00,$275.00,,,,
3/16/2020,112 Clifford Ter,,,0.5,,$12.50,$287.50,,,,
3/18/2020,60 Arguello Blvd,,,0.5,,$12.50,$300.00,,,,
3/18/2020,2629 Pierce St,,,0.5,,$12.50,$312.50,,,,
3/24/2020,2681 Harrison St,,,3,,$75.00,$387.50,,,,
3/27/2020,2504 Bush St,,,2.75,,$68.75,$456.25,,,,
4/7/2020,650 Gennessee St,,,1.25,,$31.25,$487.50,,,,
4/10/2020,2354-2356 19th Ave,,,4,,$100.00,$587.50,,,,
4/17/2020,952 Ashbury St,,,6,,$150.00,$737.50,,,,
4/29/2020,217 South St,,,2.25,,$56.25,$56.25,,,,
5/4/2020,140 Wilson Way,,,2.5,,$62.50,$118.75,,,,
5/8/2020,1907 Diamond St,,,1.75,,$43.75,$162.50,,,,
5/11/2020,185 Elsie St,,,1.25,,$31.25,$193.75,,,,
5/13/2020,1802 Scott St,,,1.25,,$31.25,$225.00,,,,
5/14/2020,848 Lovell Ave,,,1.25,,$31.25,$256.25,,,,
,4312 23rd St,,,2.5,,$62.50,$318.75,,,,
5/17/2020,244 16th Ave,,,2.5,,$62.50,$381.25,,,,
5/18/2020,439 16th Ave,,,1.5,,$37.50,$418.75,,,,
,1569 Underwood Ave,,,1,,$25.00,$443.75,,,,
5/19/2020,1838 Mason St,,,1,,$25.00,$468.75,,,,
5/21/2020,4312 23rd St,,,6,,$150.00,$618.75,,,,
5/27/2020,3741 Broderick St,,,6.5,,$162.50,$781.25,,,,
5/27/2020,365 Wawona St,,,1,,$25.00,$806.25,,,,
5/29/2020,29 Park Hill Ave,,,1.5,,$37.50,$37.50,,,,
,4024-4026 18th St,,,1.5,,$37.50,$75.00,,,,
6/1/2020,3437-3439 Fillmore,,,6,,$150.00,$225.00,,,,
6/8/2020,1449 Washington Street,,,2,,$50.00,$275.00,,,,
6/10/2020,355 Buena Vista Ave E 512W,,,1,,$25.00,$300.00,,,,
6/16/2020,549-551 Monterey Blvd,,,5,,$125.00,$425.00,,,,
6/17/2020,2322 Leavenworth St,,,1.25,,$31.25,$456.25,,,,
6/18/2020,1350 Hayes St,,,3,,$75.00,$531.25,,,,
6/23/2020,2961 Broderick St,,,1.5,,$37.50,$568.75,,,,
,1904 Leavenworth St,,,1,,$25.00,$593.75,,,,
6/24/2020,2135 California St,,,7,,$175.00,$768.75,,,,
6/25/2020,154-156 Park St,,,1.25,,$31.25,$800.00,,,,
6/28-7/1/2020,1 Baker St,,,32,,$800.00,"$1,600.00",,,,
7/2/2020,17 Commonwealth Ave,,,1,,$25.00,"$1,625.00",,,,
,3 Burnett N #4,,,1.75,,$43.75,"$1,668.75",,,,
7/7/2020,3471 Washington St,,,2,,$50.00,$50.00,,,,
,425 43rd Ave,,,1,,$25.00,$75.00,,,,
7/8/2020,2225 Blake St,,,5,,$125.00,$200.00,,,,
,1 Enterprise St,,,3,,$75.00,$275.00,,,,
7/9/2020,32 Presidio Ter,,,0.5,,$12.50,$287.50,,,,
,3444 Washington St,,,1.75,,$43.75,$331.25,,,,
,1270 Union St,,,1,,$25.00,$356.25,,,,
7/13/2020,542 Page St,,,2,,$50.00,$406.25,,,,
7/14/2020,540-542 Page St,,,2.5,,$62.50,$468.75,,,,
7/15/2020,1695 18th St #304,,,1,,$25.00,$493.75,,,,
,30 Ord St,,,4,,$100.00,$593.75,,,,
7/16/2020,3898 19th St,,,1,,$25.00,$618.75,,,,
,100 Stonecrest Dr,,,2,,$50.00,$668.75,,,,
7/17/2020,355 Bryant St,,,1,,$25.00,$693.75,,,,
,473-475 Diamond St,,,2,,$50.00,$743.75,,,,
,2322 Holland St,,,1,,$25.00,$768.75,,,,
7/20/2020,2349 Green St,,,1.5,,$37.50,$806.25,,,,
7/21/2020,267 Clipper St,,,6,,$150.00,$956.25,,,,
7/22/2020,1641-1645 Grove St,,,4.5,,$112.50,"$1,068.75",,,,
,417 Dellbrook Ave,,,0.75,,$18.75,"$1,087.50",,,,
7/24/2020,224A 28th St,,,1.25,,$31.25,"$1,118.75",,,,
7/27/2020,22 Isis St,,,1.25,,$31.25,"$1,150.00",,,,
,1901 Diamond St,,,2,,$50.00,"$1,200.00",,,,
7/28/2020,338-340 Divisadero St,,,1.5,,$37.50,"$1,237.50",,,,
7/29/2020,3950 Clay St,,,2.5,,$62.50,$62.50,,,,
7/30/2020,1940 Broadway St 1W,10:00 AM,12:30 PM,2.5,"1,795",$157.50,$220.00,,,,
,1127 Hampshire St,12:30 PM,1:45 PM,1.25,"1,855",$140.00,$360.00,,,,
7/31/2020,431 Bridgeway,,,1,,$25.00,$385.00,,,,
,2289 Forest View,,,5,,$125.00,$510.00,,,,
8/3/2020,1055 Carolina St,,,1.5,,$37.50,$547.50,,,,
,344 Park St,,,1.5,,$37.50,$585.00,,,,
8/4/2020,1332 Greenwich St,10:00 AM,11:30 AM,1.5,"2,460",$200.00,$785.00,,,,
,833 Market St #408,11:30 AM,1:00 PM,1.5,"1,200",$144.25,$929.25,4.25,,,
8/5/2020,921 Bosworth St #7,,,0.75,,$18.75,$948.00,,,,
,690 Chesnut St #101,,,0.5,,$12.50,$960.50,,,,
8/6/2020,2033-2035 Judah St,10:00 AM,11:45 AM,1.75,"2,540",$140.00,"$1,100.50",,,,
,71 Sanchez St #C,11:45 AM,12:45 PM,2,735,$70.00,"$1,170.50",,,,
8/7/2020,580 Funston Ave,10:00 AM,1:30 PM,3.5,"2,845",$192.50,"$1,363.00",,,,
,32 Terra Vista Ave,1:30 PM,4:00 PM,2.5,830,$157.50,"$1,520.50",,,,
8/10/2020,157 28th Ave,,,4,,$100.00,"$1,620.50",,,,
8/12/2020,2462 Clay St #B,9:00 AM,10:30 AM,1.5,550,$147.13,"$1,767.63",7.13,,,
,2360 Union St #6,10:30 AM,11:30 AM,1.00,955,$140.00,"$1,907.63",,,,
,110 Liberty St,11:30 AM,2:20 PM,2.83,"2,605",$158.45,"$2,067.03",0.95,,,
,708 Long Bridge St #208,2:30 PM,3:50 PM,1.33,"1,490",$140.00,"$2,206.08",,,,
8/13/2020,173 Ellsworth St,10:00 AM,11:45 AM,1.75,"1,590",$140.00,"$2,346.08",,,,
,825 York St,1:00 PM,4:00 PM,3.00,"3,650",$175.00,"$2,521.08",,,,
