AT HOME,$31,hr,,,,,,,,,,
ON SITE,$44.50,hr,,,,,,,,,,
Date,Location,Time Start,Time End,Time Spent (hr),Square Footage,Time Cost + Parking,Running Total,Parking,,,,
1/9/20201,2419 Vallejo St,,,6.50,clean-up,$201.50,$201.50,,,,,
1/14/2021,1237 Chestnut St #4,,,1,clean-up,$31.00,$232.50,,,,,
1/16/2021,1630 Waller St,11:00 AM,1:00 PM,2,"1,300",$222.50,$455.00,,,,,
,109 Germania St,1:00 PM,2:15 PM,1.25,835,$111.25,$566.25,,,,,
1/19/2021,1519 Noe St,,,1,clean-up,$31.00,$597.25,,,,,
1/20/2021,2106 Sutter St,,,2.5,clean-up,$77.50,$674.75,,,,,
1/21/2021,377 Capp St,,,2.5,clean-up,$77.50,$752.25,,,,,
1/23/2021,128 Duncan St,10:00 AM,1:00 PM,3,as-built,$222.50,$974.75,,,,,
1/23/2021,1848 Green St,,,7,conversion,$311.50,"$1,286.25",,,,,
,357 Vicente St,10:15 AM,2:00 PM,3.75,"3,965",$255.88,"$1,542.13",,,,,
1/28/2021,1402 Parker St,9:30 AM,11:00 AM,1.5,"1,700",$200.25,"$1,742.38",,,,,
1/30/2021,"2120 Stockton St, #103",11:00 AM,12:30 PM,1.5,"1,430",$200.25,"$1,942.63",,,,,
2/1/2021,1848 Green St,,,1,clean-up,$31.00,"$1,973.63",,,,,
2/2/2021,950 63rd St Lofts,,,1.5,clean-up,$46.50,"$2,020.13",,,,,
,1809 Oak Knoll Dr,,,1,clean-up,$31.00,"$2,051.13",,,,,
2/3/2021,2550 Lyon St,9:00 AM,3:00 PM,6,"4,680",$378.25,"$2,429.38",,,,,
2/5/2021,1267 Chestnut St,CANCELLED,,3,-,$133.50,"$2,562.88",,,,,
2/8/2021,3327 Cesar Chavez St,,,1.25,clean-up,$38.75,"$2,601.63",,,,,
2/9/2021,629 Lakeview Ave,11:00 AM,12:15 PM,1.25,"1,425",$200.25,"$2,801.88",,,,,
2/10/2021,1727 29th Ave,,,1,clean-up,$31.00,"$2,832.88",,,,,
2/11/2021,2643-2645 Greenwich St,,,1.75,clean-up,$54.25,"$2,887.13",,,,,
2/13/2021,"2415 Van Ness Ave, #303",11:30 AM,12:30 PM,1,~500x2,$100.13,"$2,987.25",,,,,
,5986 Buena Vista Ave,2:30 PM,5:30 PM,3,,$222.50,"$3,209.75",,,,,
2/15/2021,2242 Polk St,,,10.5,conversion,$467.25,"$3,677.00",,,,,
2/16/2021,616 Sandalwood Isle,9:00 AM,10:30 AM,1.5,"1,665",$200.25,"$3,877.25",,,,,
2/18/2021,427 Riviera Cir,,,1,clean-up,$31.00,"$3,908.25",,,,,
,128 Duncan St,,,2,clean-up,$62.00,"$3,970.25",,,,,
2/19/2021,"3461 17th St, #A",10:00 AM,11:30 AM,1.50,835,$133.50,"$4,103.75",,,,,
2/20/2021,3028 Laguna St,12:05 PM,2:45 PM,2.67,"2,440",$222.50,"$4,326.25",,,,,
2/22/2021,"355 Bryant St, #310",,,1,clean-up,$31.00,"$4,357.25",,,,,
